trade_num,prediction_date,entry_date,exit_date,entry_price,exit_price,shares,investment,gross_proceeds,entry_commission,exit_commission,total_commission,net_proceeds,pnl,pnl_pct,capital_after
1,2025-05-18,2025-05-19,2025-05-25,2606.73,2679.98,3.836223928063129,10000.0,10281.003402730625,0.0,0.0,0.0,10281.003402730625,281.00340273062466,2.8100340273062465,10281.003402730625
2,2025-05-25,2025-05-26,2025-06-03,2712.69,2658.93,3.789966196922842,10281.003402730625,10077.254819984053,0.0,0.0,0.0,10077.254819984053,-203.74858274657163,-1.9817966667772544,10077.254819984053
3,2025-06-10,2025-06-11,2025-06-17,2677.53,2654.75,3.763638435417737,10077.254819984053,9991.519136425237,0.0,0.0,0.0,9991.519136425237,-85.73568355881616,-0.8507841181984901,9991.519136425237
4,2025-06-17,2025-06-18,2025-06-24,2654.51,2600.53,3.7639787141224694,9991.519136425237,9788.339565436907,0.0,0.0,0.0,9788.339565436907,-203.17957098832994,-2.0335203107164688,9788.339565436907
5,2025-06-26,2025-06-29,2025-07-03,2594.94,2703.96,3.7720870484238196,9788.339565436907,10199.572495456072,0.0,0.0,0.0,10199.572495456072,411.232930019165,4.201253208166665,10199.572495456072
6,2025-07-03,2025-07-06,2025-07-10,2708.24,2731.8,3.7661257848108263,10199.572495456072,10288.302418946216,0.0,0.0,0.0,10288.302418946216,88.72992349014385,0.8699376716982324,10288.302418946216
7,2025-07-13,2025-07-14,2025-07-20,2761.96,2870.95,3.7250005137461133,10288.302418946216,10694.290224939403,0.0,0.0,0.0,10694.290224939403,405.98780599318707,3.9461107329577367,10694.290224939403
8,2025-07-20,2025-07-21,2025-07-27,2874.29,2964.2,3.7206719659252903,10694.290224939403,11028.815841395744,0.0,0.0,0.0,11028.815841395744,334.5256164563416,3.1280768468038946,11028.815841395744
9,2025-07-27,2025-07-28,2025-08-03,2967.51,2858.9,3.716521879082377,11028.815841395744,10625.164400108608,0.0,0.0,0.0,10625.164400108608,-403.65144128713655,-3.6599708172845213,10625.164400108608
10,2025-08-03,2025-08-04,2025-08-11,2857.27,2822.46,3.718642060466322,10625.164400108608,10495.718469983776,0.0,0.0,0.0,10495.718469983776,-129.44593012483165,-1.2182957858375205,10495.718469983776
11,2025-08-18,2025-08-19,2025-08-25,2769.37,2761.26,3.7899300093464494,10495.718469983776,10464.982137607978,0.0,0.0,0.0,10464.982137607978,-30.736332375798156,-0.29284638744550534,10464.982137607978
12,2025-08-26,2025-08-27,2025-09-02,2781.38,2741.97,3.762514340941539,10464.982137607978,10316.701447431471,0.0,0.0,0.0,10316.701447431471,-148.28069017650705,-1.4169225348568073,10316.701447431471
13,2025-09-02,2025-09-03,2025-09-18,2744.41,2511.91,3.7591691647499723,10316.701447431471,9442.694616627103,0.0,0.0,0.0,9442.694616627103,-874.0068308043683,-8.47176624483951,9442.694616627103
14,2025-09-25,2025-09-28,2025-10-12,2655.86,2503.35,3.5554188159869504,9442.694616627103,8900.457693000932,0.0,0.0,0.0,8900.457693000932,-542.2369236261711,-5.742396060033298,8900.457693000932
15,2025-10-16,2025-10-19,2025-10-30,2489.08,2600.38,3.575802181127538,8900.457693000932,9298.444475760427,0.0,0.0,0.0,9298.444475760427,397.9867827594953,4.471531650248289,9298.444475760427
16,2025-11-03,2025-11-04,2025-11-10,2623.76,2561.94,3.5439386513097335,9298.444475760427,9079.358188336459,0.0,0.0,0.0,9079.358188336459,-219.08628742396832,-2.356160624447364,9079.358188336459
17,2025-11-10,2025-11-11,2025-11-17,2563.87,2550.36,3.5412708867206444,9079.358188336459,9031.515618656864,0.0,0.0,0.0,9031.515618656864,-47.84256967959482,-0.5269377932578365,9031.515618656864
18,2025-11-18,2025-11-19,2025-11-25,2570.92,2655.99,3.5129508575361594,9031.515618656864,9330.362348107463,0.0,0.0,0.0,9330.362348107463,298.846729450599,3.3089322110372708,9330.362348107463
19,2025-11-25,2025-11-26,2025-12-02,2661.7,2644.7,3.5054147154478206,9330.362348107463,9270.770297944851,0.0,0.0,0.0,9270.770297944851,-59.592050162611486,-0.6386895593041885,9270.770297944851
20,2025-12-02,2025-12-03,2025-12-10,2647.41,2609.03,3.501826425806676,9270.770297944851,9136.370199722392,0.0,0.0,0.0,9136.370199722392,-134.40009822245884,-1.449718781752717,9136.370199722392
21,2025-12-10,2025-12-11,2025-12-17,2608.11,2625.69,3.503061680574206,9136.370199722392,9197.954024066887,0.0,0.0,0.0,9197.954024066887,61.58382434449413,0.6740513245223508,9197.954024066887
22,2025-12-17,2025-12-18,2025-12-24,2629.77,2585.87,3.497626797806229,9197.954024066887,9044.408207643193,0.0,0.0,0.0,9044.408207643193,-153.5458164236934,-1.6693475094780146,9044.408207643193
