trade_num,prediction_date,entry_date,exit_date,entry_price,exit_price,shares,investment,gross_proceeds,entry_commission,exit_commission,total_commission,net_proceeds,pnl,pnl_pct,capital_after
1,2025-05-20,2025-05-21,2025-05-27,2712.26,2675.62,3.6869621643942687,10000.0,9864.909706296592,0.0,0.0,0.0,9864.909706296592,-135.09029370340795,-1.3509029370340795,9864.909706296592
2,2025-06-10,2025-06-11,2025-06-17,2677.53,2654.75,3.684332092001431,9864.909706296592,9780.980621240798,0.0,0.0,0.0,9780.980621240798,-83.92908505579362,-0.8507841181984992,9780.980621240798
3,2025-06-17,2025-06-18,2025-06-24,2654.51,2600.53,3.684665200447841,9780.980621240798,9582.082393720624,0.0,0.0,0.0,9582.082393720624,-198.89822752017426,-2.0335203107164768,9582.082393720624
4,2025-07-01,2025-07-02,2025-07-08,2667.9,2683.86,3.5916197734999904,9582.082393720624,9639.404645305685,0.0,0.0,0.0,9639.404645305685,57.32225158506117,0.5982233217137212,9639.404645305685
5,2025-07-13,2025-07-14,2025-07-20,2761.96,2870.95,3.4900594669385816,9639.404645305685,10019.78622660732,0.0,0.0,0.0,10019.78622660732,380.3815813016354,3.946110732957748,10019.78622660732
6,2025-07-20,2025-07-21,2025-07-27,2874.29,2964.2,3.486003926746195,10019.78622660732,10333.212839661071,0.0,0.0,0.0,10333.212839661071,313.42661305375077,3.12807684680391,10333.212839661071
7,2025-07-27,2025-07-28,2025-08-03,2967.51,2858.9,3.482115591745629,10333.212839661071,9955.02026524158,0.0,0.0,0.0,9955.02026524158,-378.1925744194923,-3.6599708172845205,9955.02026524158
8,2025-08-11,2025-08-12,2025-08-18,2824.01,2770.39,3.5251363363591413,9955.02026524158,9766.002454886,0.0,0.0,0.0,9766.002454886,-189.01781035557906,-1.898718488957211,9766.002454886
9,2025-08-20,2025-08-21,2025-08-27,2767.52,2819.1,3.528792006881974,9766.002454886,9948.017546600971,0.0,0.0,0.0,9948.017546600971,182.01509171497128,1.8637625021679964,9948.017546600971
10,2025-08-28,2025-08-31,2025-09-04,2784.11,2719.77,3.573140984587883,9948.017546600971,9718.121655652587,0.0,0.0,0.0,9718.121655652587,-229.89589094838448,-2.3109719084375264,9718.121655652587
11,2025-09-24,2025-09-25,2025-10-09,2653.84,2582.18,3.661909405108291,9718.121655652587,9455.709227682526,0.0,0.0,0.0,9455.709227682526,-262.4124279700609,-2.7002381454797653,9455.709227682526
12,2025-10-09,2025-10-12,2025-10-16,2583.97,2487.17,3.659372681448518,9455.709227682526,9101.48195211831,0.0,0.0,0.0,9101.48195211831,-354.22727556421523,-3.7461735236864073,9101.48195211831
13,2025-10-28,2025-10-29,2025-11-04,2570.59,2595.24,3.5406198390713066,9101.48195211831,9188.758231151416,0.0,0.0,0.0,9188.758231151416,87.27627903310531,0.9589238268257219,9188.758231151416
14,2025-11-04,2025-11-05,2025-11-11,2597.0,2565.16,3.5382203431464827,9188.758231151416,9076.101295425631,0.0,0.0,0.0,9076.101295425631,-112.65693572578493,-1.2260300346553814,9076.101295425631
15,2025-11-11,2025-11-12,2025-11-18,2565.78,2566.07,3.5373653607969624,9076.101295425631,9077.127131380263,0.0,0.0,0.0,9077.127131380263,1.025835954631475,0.011302605835266492,9077.127131380263
16,2025-11-18,2025-11-19,2025-11-25,2570.92,2655.99,3.530692176878418,9077.127131380263,9377.483114867307,0.0,0.0,0.0,9377.483114867307,300.3559834870448,3.3089322110372694,9377.483114867307
17,2025-11-25,2025-11-26,2025-12-02,2661.7,2644.7,3.5231179753042445,9377.483114867307,9317.590109287135,0.0,0.0,0.0,9317.590109287135,-59.89300558017203,-0.6386895593042027,9317.590109287135
18,2025-12-02,2025-12-03,2025-12-10,2647.41,2609.03,3.5195115638632233,9317.590109287135,9182.511255466066,0.0,0.0,0.0,9182.511255466066,-135.07885382106906,-1.4497187817527164,9182.511255466066
19,2025-12-10,2025-12-11,2025-12-17,2608.11,2625.69,3.520753056989953,9182.511255466066,9244.406094207949,0.0,0.0,0.0,9244.406094207949,61.89483874188227,0.6740513245223432,9244.406094207949
