s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX,accumulated_sentiment
,169.51,169.51,169.51,169.51,0.0,1997-10-19,170.9237703,34.31195258,65.68804742,28.84789629,
,169.55,169.55,169.55,169.55,0.0,1997-10-20,170.8042687,36.62676548,63.37323452,28.42761084,
,169.29,169.29,169.29,169.29,0.0,1997-10-21,170.6943272,28.47405192,71.52594808,31.3524679,
,170.33,170.33,170.33,170.33,0.0,1997-10-22,170.5538945,66.14869048,33.85130952,31.54145051,
,171.04,171.04,171.04,171.04,0.0,1997-10-23,169.29,76.64606281,23.35393719,35.89158553,
,170.61,170.61,170.61,170.61,0.0,1997-10-26,169.325,62.07362105,37.92637895,33.54271685,
,172.96,172.96,172.96,172.96,0.0,1997-10-27,169.3593,83.50186861,16.49813139,40.23492092,
,172.0,172.0,172.0,172.0,0.0,1997-10-28,169.503328,64.80505688,35.19494312,38.10995949,
,173.43,173.43,173.43,173.43,0.0,1997-10-29,169.6415949,75.1608423,24.8391577,40.55230451,
,173.44,173.44,173.44,173.44,0.0,1997-11-03,169.8688992,75.22456556,24.77543444,42.53166983,
,172.68,172.68,172.68,172.68,0.0,1997-11-04,170.1545873,60.48369632,39.51630368,38.21881439,
,173.03,173.03,173.03,173.03,0.0,1997-11-05,170.4174203,64.48945853,35.51054147,36.37083493,
,172.07,172.07,172.07,172.07,0.0,1997-11-06,170.6592267,47.85668527,52.14331473,29.95399383,
,173.02,173.02,173.02,173.02,0.0,1997-11-09,170.8816885,60.4685888,39.5314112,28.15063059,
,172.46,172.46,172.46,172.46,0.0,1997-11-10,171.0863534,51.32198469,48.67801531,23.04929835,
,172.08,172.08,172.08,172.08,0.0,1997-11-11,171.2746452,45.48600912,54.51399088,20.24503503,
,171.96,171.96,171.96,171.96,0.0,1997-11-12,171.4478735,43.53200121,56.46799879,18.78322754,
,172.02,172.02,172.02,172.02,0.0,1997-11-13,171.6072437,45.00847011,54.99152989,17.02319399,
,172.02,172.02,172.02,172.02,0.0,1997-11-16,171.7538642,45.00847011,54.99152989,15.61516715,
,172.8,172.8,172.8,172.8,0.0,1997-11-17,171.888755,64.08390351,35.91609649,18.12569512,
,172.68,172.68,172.68,172.68,0.0,1997-11-18,172.0128546,60.07635452,39.92364548,18.53109791,
,172.35,172.35,172.35,172.35,0.0,1997-11-19,172.1270263,49.4468863,50.5531137,15.04612381,
,173.01,173.01,173.01,173.01,0.0,1997-11-20,172.2320642,64.95042237,35.04957763,18.01706799,
,173.28,173.28,173.28,173.28,0.0,1997-11-23,172.328699,69.70189434,30.29810566,22.29441213,
,173.1,173.1,173.1,173.1,0.0,1997-11-24,172.4176031,62.6269153,37.3730847,22.88629582,
,173.28,173.28,173.28,173.28,0.0,1997-11-25,172.4993949,66.83488064,33.16511936,25.04298891,
,172.39,172.39,172.39,172.39,0.0,1997-11-26,173.44,39.40991019,60.59008981,24.27042705,
,172.14,172.14,172.14,172.14,0.0,1997-11-27,173.419,34.44682025,65.55317975,25.63761354,
,171.64,171.64,171.64,171.64,0.0,1997-11-30,173.36784,26.19853437,73.80146563,30.03067709,
,171.77,171.77,171.77,171.77,0.0,1997-12-01,173.2641696,31.52717205,68.47282795,31.41367285,
,171.19,171.19,171.19,171.19,0.0,1997-12-02,173.1667194,22.47659337,77.52340663,36.14030093,
,170.08,170.08,170.08,170.08,0.0,1997-12-03,173.0085819,13.32541434,86.67458566,43.58207501,
,170.22,170.22,170.22,170.22,0.0,1997-12-04,172.7157237,18.55340232,81.44659768,47.44429908,
