date,value,in_position
2025-05-15,10013.763965248861,True
2025-05-18,10003.02883914947,True
2025-05-19,10077.062869499206,True
2025-05-20,10265.272633863187,True
2025-05-21,10234.830883424198,True
2025-05-22,10307.829740900062,False
2025-05-25,10307.829740900062,False
2025-05-26,10307.829740900062,False
2025-05-27,10307.868266057842,True
2025-05-28,10375.05614122698,True
2025-06-02,10381.220166471854,True
2025-06-03,10243.56977772224,True
2025-06-04,10197.416638701237,True
2025-06-05,10174.340069190737,False
2025-06-08,10176.894073384234,True
2025-06-09,10266.671190488947,True
2025-06-10,10363.7233498418,True
2025-06-11,10310.708414310138,True
2025-06-12,10275.532811099714,True
2025-06-15,10291.57303486108,True
2025-06-16,10302.461948100894,True
2025-06-17,10287.310470959374,True
2025-06-18,10283.16415880044,True
2025-06-19,10187.178969850196,True
2025-06-22,10049.237452841688,True
2025-06-23,10067.779981221876,True
2025-06-24,10066.889630172305,True
2025-06-25,10065.612169970746,True
2025-06-26,10048.347101792118,True
2025-06-29,10129.261227314504,True
2025-06-30,10164.798699777892,True
2025-07-01,10276.471344225341,True
2025-07-02,10409.466472150827,True
2025-07-03,10444.772178489453,True
2025-07-06,10454.042823479902,False
2025-07-07,10454.042823479902,False
2025-07-08,10471.561364135887,True
2025-07-09,10557.554378848114,True
2025-07-10,10658.607876173279,True
2025-07-13,10771.756579741997,True
2025-07-14,10634.846648423849,True
2025-07-15,10769.298521698953,False
2025-07-16,10759.173707991966,True
2025-07-17,11051.17641509277,True
2025-07-20,11052.408331589437,True
2025-07-21,11136.217150753373,True
2025-07-22,11447.969019191387,True
2025-07-23,11467.9106674812,False
2025-07-24,11459.151023563822,True
2025-07-27,11388.305482407492,True
2025-07-28,11415.621740412997,True
2025-07-29,11533.800094315857,True
2025-07-30,11349.655474596608,True
2025-07-31,11228.595658878823,False
2025-08-03,11228.595658878823,False
2025-08-04,11228.595658878823,False
2025-08-05,11228.595658878823,False
2025-08-06,11228.595658878823,False
2025-08-07,11228.595658878823,False
2025-08-11,11228.595658878823,False
2025-08-12,11228.595658878823,False
2025-08-13,11228.595658878823,False
2025-08-14,11228.595658878823,False
2025-08-17,11228.595658878823,False
2025-08-18,11228.595658878823,False
2025-08-19,11228.595658878823,False
2025-08-20,11228.595658878823,False
2025-08-21,11228.595658878823,False
2025-08-24,11228.595658878823,False
2025-08-25,11228.595658878823,False
2025-08-26,11166.869024034157,True
2025-08-27,11380.873531105166,True
2025-08-28,11227.061576390857,True
2025-08-31,11101.226441786002,True
2025-09-01,11149.792263707608,True
2025-09-02,11069.495156640214,False
2025-09-03,11069.495156640214,False
2025-09-04,11069.495156640214,False
2025-09-07,11069.495156640214,False
2025-09-08,11069.495156640214,False
2025-09-18,11177.851219233353,True
2025-09-21,11674.954124871118,True
2025-09-23,11935.854163878746,True
2025-09-24,11811.70081084595,True
2025-09-25,11801.243449568996,True
2025-09-28,11852.462270121236,False
2025-10-07,11828.305819749226,True
2025-10-08,11622.294888663137,True
2025-10-09,11724.868989020964,True
2025-10-12,11366.926699016194,True
2025-10-13,11567.852061602915,True
2025-10-14,11479.58112264956,False
2025-10-15,11478.893922844154,True
2025-10-16,11394.551600060784,True
2025-10-19,11470.968218421816,True
2025-10-26,11494.74533168883,True
2025-10-28,11780.1623175337,True
2025-10-29,11756.431017587047,False
2025-10-30,11694.325236311442,True
2025-11-02,11832.657881643638,True
2025-11-03,11795.556310642643,True
2025-11-04,11671.20983328779,True
2025-11-05,11725.985243565625,True
2025-11-06,11664.922806207353,True
2025-11-09,11529.991588902141,True
2025-11-10,11511.34475067981,True
2025-11-11,11525.812899854725,True
2025-11-12,11433.387487268374,True
2025-11-13,11418.549839258465,True
2025-11-16,11395.405312081359,True
2025-11-17,11439.317118489085,True
2025-11-18,11509.782335921707,True
2025-11-19,11487.40032223687,True
2025-11-20,11474.669218014336,True
2025-11-23,11653.626891510428,True
2025-11-24,11879.688124947517,True
2025-11-25,11903.576038790097,True
2025-11-26,11946.645992266116,True
2025-11-27,11999.399610015385,True
2025-11-30,11880.52796669991,True
2025-12-01,11861.336317005824,True
2025-12-02,11858.914940642551,True
2025-12-03,11798.246010651666,True
2025-12-07,11701.929039757046,False
2025-12-08,11701.929039757046,False
2025-12-09,11702.9587292863,True
2025-12-10,11680.395097862656,True
2025-12-11,11672.963425608043,True
2025-12-14,11617.00203814861,True
2025-12-15,11647.176418266738,True
2025-12-16,11718.995418743536,True
2025-12-17,11744.491040439361,True
2025-12-18,11696.809754952086,True
2025-12-21,11607.664537338445,True
2025-12-22,11545.535732890205,True
2025-12-23,11560.206897655518,False
