date,value,in_position
2025-05-15,10000.0,False
2025-05-18,10000.0,False
2025-05-19,10000.0,False
2025-05-20,9871.656847057435,True
2025-05-21,9842.382367472144,True
2025-05-22,9912.582127082213,True
2025-05-25,9880.984861333352,True
2025-05-26,9861.738918835215,True
2025-05-27,9864.946576056034,True
2025-05-28,9929.247436524418,True
2025-06-02,9935.146598035279,True
2025-06-03,9803.410947545866,True
2025-06-04,9759.240975733295,True
2025-06-05,9737.15598982701,False
2025-06-08,9737.15598982701,False
2025-06-09,9732.680502673065,True
2025-06-10,9824.684779575484,True
2025-06-11,9774.427259895932,True
2025-06-12,9741.081212166946,True
2025-06-15,9742.805375250842,True
2025-06-16,9750.839771808727,True
2025-06-17,9736.499546466723,True
2025-06-18,9732.575239275944,True
2025-06-19,9641.729361597827,True
2025-06-22,9520.919381350868,True
2025-06-23,9538.487074289027,False
2025-06-24,9536.360165967932,True
2025-06-25,9535.150028474893,True
2025-06-26,9518.794836902322,True
2025-06-29,9616.119228009054,True
2025-06-30,9649.856394481621,True
2025-07-01,9728.409500458598,True
2025-07-02,9854.311770088536,True
2025-07-03,9887.734562549113,True
2025-07-06,9896.510788140511,True
2025-07-07,9814.782187320612,True
2025-07-08,9830.680042775473,True
2025-07-09,9911.410106244793,True
2025-07-10,10006.278919486873,True
2025-07-13,10112.502687209662,True
2025-07-14,9983.971928265086,True
2025-07-15,10112.356633713469,True
2025-07-16,10239.156310216302,True
2025-07-17,10517.045806394859,True
2025-07-20,10518.218181329295,True
2025-07-21,10597.976313587795,True
2025-07-22,10885.252939614777,True
2025-07-23,10904.214371577385,True
2025-07-24,10917.977882036728,True
2025-07-27,10850.478112656327,True
2025-07-28,10876.50432525365,True
2025-07-29,10989.10155443701,False
2025-07-30,10989.10155443701,False
2025-07-31,10989.10155443701,False
2025-08-03,10995.370557903161,True
2025-08-04,11058.67595486811,True
2025-08-05,10899.604799432494,True
2025-08-06,10892.143531503454,True
2025-08-07,10962.564055101764,True
2025-08-11,10855.221793297897,False
2025-08-12,10855.221793297897,False
2025-08-13,10855.221793297897,False
2025-08-14,10855.221793297897,False
2025-08-17,10857.384446561891,True
2025-08-18,10893.441774617957,True
2025-08-19,10919.039725069975,True
2025-08-20,10880.898385686785,True
2025-08-21,10844.6051318201,True
2025-08-24,10773.748746697927,False
2025-08-25,10761.900468222377,True
2025-08-26,10780.725200142411,True
2025-08-27,10987.329556059807,True
2025-08-28,10838.836329112952,True
2025-08-31,10717.35250013832,True
2025-09-01,10703.548838723465,True
2025-09-02,10626.46542884671,True
2025-09-03,10565.852833046187,True
2025-09-04,10540.429647083818,True
2025-09-07,10495.784052223074,True
2025-09-08,10503.267107081965,True
2025-09-18,9873.051428178598,True
2025-09-21,10312.127101686738,True
2025-09-23,10542.572063980017,True
2025-09-24,10432.91123423445,True
2025-09-25,10423.67456936341,False
2025-09-28,10423.67456936341,False
2025-10-07,10423.67456936341,False
2025-10-08,10423.67456936341,False
2025-10-09,10423.67456936341,False
2025-10-12,10350.655385427224,True
2025-10-13,10533.616817430402,True
2025-10-14,10453.23782899782,True
2025-10-15,10359.87581465586,True
2025-10-16,10283.755589499284,True
2025-10-19,10352.722746240821,False
2025-10-26,10352.722746240821,False
2025-10-28,10355.743275403263,True
2025-10-29,10334.881487321332,True
2025-10-30,10472.698164573,True
2025-11-02,10596.580133955267,True
2025-11-03,10563.354313168411,True
2025-11-04,10451.997471379733,False
2025-11-05,10442.785910681969,True
2025-11-06,10397.529112471206,True
2025-11-09,10277.258169969507,True
2025-11-10,10260.637310449625,True
2025-11-11,10273.533495426496,True
2025-11-12,10215.076099911092,True
2025-11-13,10219.652549065533,True
2025-11-16,10198.938094998064,True
2025-11-17,10238.239355719095,True
2025-11-18,10301.306036610556,True
2025-11-19,10286.053426829076,True
2025-11-20,10282.88055358529,True
2025-11-23,10443.251222730058,True
2025-11-24,10645.833154902915,True
2025-11-25,10667.240008560355,True
2025-11-26,10687.75370924826,True
2025-11-27,10729.572913625309,True
2025-11-30,10623.280765203875,True
2025-12-01,10606.120056216936,True
2025-12-02,10603.954920036342,True
2025-12-03,10549.7062301781,False
2025-12-07,10549.7062301781,False
2025-12-08,10549.7062301781,False
2025-12-09,10550.634531999536,True
2025-12-10,10530.292613825472,True
2025-12-11,10523.592696331632,True
2025-12-14,10473.14151038405,True
2025-12-15,10500.344789846988,True
2025-12-16,10565.092179290308,True
2025-12-17,10588.07739122698,True
2025-12-18,10545.091012412086,True
2025-12-21,10464.723420500186,True
2025-12-22,10408.712088254511,True
2025-12-23,10421.938666351401,False
