date,value,in_position
2025-05-15,10013.763965248861,True
2025-05-18,10003.02883914947,True
2025-05-19,10077.062869499206,True
2025-05-20,10265.272633863187,True
2025-05-21,10234.830883424198,True
2025-05-22,10307.829740900062,False
2025-05-25,10183.536470815814,True
2025-05-26,10163.701225635754,True
2025-05-27,10166.969101278444,True
2025-05-28,10233.23857942792,True
2025-06-02,10239.318348065484,True
2025-06-03,10098.65007821245,True
2025-06-04,10053.149885301398,True
2025-06-05,10030.399788845873,True
2025-06-08,9988.355787549932,True
2025-06-09,10076.469683671505,True
2025-06-10,10174.155152965883,True
2025-06-11,10122.109940901064,True
2025-06-12,10087.57775275003,True
2025-06-15,10089.363245426706,True
2025-06-16,10100.038212280875,True
2025-06-17,10085.184432779166,False
2025-06-18,10085.184432779166,False
2025-06-19,10085.184432779166,False
2025-06-22,10085.184432779166,False
2025-06-23,10085.184432779166,False
2025-06-24,10085.184432779166,False
2025-06-25,10085.184432779166,False
2025-06-26,10085.184432779166,False
2025-06-29,10085.184432779166,False
2025-06-30,10085.184432779166,False
2025-07-01,10085.184432779166,False
2025-07-02,10085.184432779166,False
2025-07-03,10085.184432779166,False
2025-07-06,10085.184432779166,False
2025-07-07,10085.184432779166,False
2025-07-08,10102.084852692496,True
2025-07-09,10185.043706788218,True
2025-07-10,10282.53165239072,True
2025-07-13,10391.688039358776,True
2025-07-14,10259.60881112743,True
2025-07-15,10389.316710952227,False
2025-07-16,10389.316710952227,False
2025-07-17,10389.316710952227,False
2025-07-20,10389.316710952227,False
2025-07-21,10389.316710952227,False
2025-07-22,10389.316710952227,False
2025-07-23,10389.316710952227,False
2025-07-24,10389.316710952227,False
2025-07-27,10389.316710952227,False
2025-07-28,10389.316710952227,False
2025-07-29,10389.316710952227,False
2025-07-30,10389.316710952227,False
2025-07-31,10389.316710952227,False
2025-08-03,10395.243552391381,True
2025-08-04,10455.093742629711,True
2025-08-05,10304.704686234976,True
2025-08-06,10297.65065409267,True
2025-08-07,10364.227627559489,True
2025-08-11,10257.111243146752,True
2025-08-12,10161.825054221023,True
2025-08-13,10123.66696941095,True
2025-08-14,10133.188320096893,True
2025-08-17,10034.55875612114,True
2025-08-18,10071.59163416746,True
2025-08-19,10095.25836034624,True
2025-08-20,10059.994574795677,True
2025-08-21,10026.439446895502,True
2025-08-24,9960.92878549126,True
2025-08-25,10027.360461346689,True
2025-08-26,10044.900334820502,True
2025-08-27,10237.403169778452,True
2025-08-28,10099.045161630973,True
2025-08-31,9985.853058902443,True
2025-09-01,10029.539327616727,False
2025-09-02,10020.622264947742,True
2025-09-03,9963.465355053111,True
2025-09-04,9939.491612795517,True
2025-09-07,9897.391382489497,True
2025-09-08,9765.828162783184,True
2025-09-18,9269.719176965824,True
2025-09-21,9681.963377298976,True
2025-09-23,9898.32607952378,True
2025-09-24,9795.366512884313,True
2025-09-25,9786.69429132149,True
2025-09-28,9829.169725444082,False
2025-10-07,9809.136938563224,True
2025-10-08,9638.293415859378,True
2025-10-09,9723.357448874143,True
2025-10-12,9426.51824026175,True
2025-10-13,9593.144334148574,True
2025-10-14,9520.845640228505,True
2025-10-15,9435.811190448287,True
2025-10-16,9366.480622669109,True
2025-10-19,9429.296150673274,True
2025-10-26,9448.841269998311,True
2025-10-28,9686.283283549985,True
2025-10-29,9666.770131882453,True
2025-10-30,9795.677477454445,True
2025-11-02,9911.55094179677,True
2025-11-03,9880.473045801185,True
2025-11-04,9769.689548500379,True
2025-11-05,9815.540729393375,True
2025-11-06,9773.002277497575,True
2025-11-09,9659.955400468296,True
2025-11-10,9644.332871674706,True
2025-11-11,9654.12104406005,True
2025-11-12,9576.704715302269,True
2025-11-13,9580.995168135707,True
2025-11-16,9561.575223731714,True
2025-11-17,9598.420428327665,True
2025-11-18,9639.327071352382,True
2025-11-19,9620.58235975603,True
2025-11-20,9617.614760124543,True
2025-11-23,9767.610017447649,True
2025-11-24,9957.085619235211,True
2025-11-25,9955.704180389987,True
2025-11-26,9991.726272782484,True
2025-11-27,10030.822050477984,True
2025-11-30,9931.452053669962,True
2025-12-01,9915.408915746975,True
2025-12-02,9903.23702475023,True
2025-12-03,9852.573132080033,True
2025-12-07,9772.139989836438,True
2025-12-08,9760.831419558242,True
2025-12-09,9788.541161299518,True
2025-12-10,9773.114790564767,True
2025-12-11,9766.8966288141,True
2025-12-14,9720.07312165548,True
2025-12-15,9745.320356715409,True
2025-12-16,9814.169641641445,True
2025-12-17,9835.521160905777,False
2025-12-18,9835.521160905777,False
2025-12-21,9835.521160905777,False
2025-12-22,9835.521160905777,False
2025-12-23,9835.521160905777,False
2025-12-24,9835.521160905777,False
